# Wavelength [nm]	Power [dBm]
1505.1860000000	-100.0000000000
1505.1880000000	-100.0000000000
1505.1900000000	-100.0000000000
1505.1920000000	-100.0000000000
1505.1940000000	-100.0000000000
1505.1960000000	-100.0000000000
1505.1980000000	-100.0000000000
1505.2000000000	-100.0000000000
1505.2020000000	-100.0000000000
1505.2040000000	-100.0000000000
1505.2060000000	-100.0000000000
1505.2080000000	-100.0000000000
1505.2100000000	-100.0000000000
1505.2120000000	-100.0000000000
1505.2140000000	-100.0000000000
1505.2160000000	-100.0000000000
1505.2180000000	-100.0000000000
1505.2200000000	-100.0000000000
1505.2220000000	-100.0000000000
1505.2240000000	-100.0000000000
1505.2260000000	-100.0000000000
1505.2280000000	-100.0000000000
1505.2300000000	-100.0000000000
1505.2320000000	-100.0000000000
1505.2340000000	-100.0000000000
1505.2360000000	-100.0000000000
1505.2380000000	-100.0000000000
1505.2400000000	-100.0000000000
1505.2420000000	-100.0000000000
1505.2440000000	-100.0000000000
1505.2460000000	-100.0000000000
1505.2480000000	-100.0000000000
1505.2500000000	-100.0000000000
1505.2520000000	-100.0000000000
1505.2540000000	-100.0000000000
1505.2560000000	-100.0000000000
1505.2580000000	-100.0000000000
1505.2600000000	-100.0000000000
1505.2620000000	-100.0000000000
1505.2640000000	-100.0000000000
1505.2660000000	-100.0000000000
1505.2680000000	-100.0000000000
1505.2700000000	-100.0000000000
1505.2720000000	-100.0000000000
1505.2740000000	-100.0000000000
1505.2760000000	-100.0000000000
1505.2780000000	-100.0000000000
1505.2800000000	-100.0000000000
1505.2820000000	-100.0000000000
1505.2840000000	-100.0000000000
1505.2860000000	-100.0000000000
1505.2880000000	-100.0000000000
1505.2900000000	-100.0000000000
1505.2920000000	-100.0000000000
1505.2940000000	-100.0000000000
1505.2960000000	-100.0000000000
1505.2980000000	-100.0000000000
1505.3000000000	-100.0000000000
1505.3020000000	-100.0000000000
1505.3040000000	-100.0000000000
1505.3060000000	-100.0000000000
1505.3080000000	-100.0000000000
1505.3100000000	-100.0000000000
1505.3120000000	-100.0000000000
1505.3140000000	-100.0000000000
1505.3160000000	-100.0000000000
1505.3180000000	-100.0000000000
1505.3200000000	-100.0000000000
1505.3220000000	-100.0000000000
1505.3240000000	-100.0000000000
1505.3260000000	-100.0000000000
1505.3280000000	-100.0000000000
1505.3300000000	-100.0000000000
1505.3320000000	-100.0000000000
1505.3340000000	-100.0000000000
1505.3360000000	-100.0000000000
1505.3380000000	-100.0000000000
1505.3400000000	-100.0000000000
1505.3420000000	-100.0000000000
1505.3440000000	-100.0000000000
1505.3460000000	-100.0000000000
1505.3480000000	-100.0000000000
1505.3500000000	-100.0000000000
1505.3520000000	-100.0000000000
1505.3540000000	-100.0000000000
1505.3560000000	-100.0000000000
1505.3580000000	-100.0000000000
1505.3600000000	-100.0000000000
1505.3620000000	-100.0000000000
1505.3640000000	-100.0000000000
1505.3660000000	-100.0000000000
1505.3680000000	-100.0000000000
1505.3700000000	-100.0000000000
1505.3720000000	-100.0000000000
1505.3740000000	-100.0000000000
1505.3760000000	-100.0000000000
1505.3780000000	-100.0000000000
1505.3800000000	-100.0000000000
1505.3820000000	-100.0000000000
1505.3840000000	-100.0000000000
1505.3860000000	-100.0000000000
1505.3880000000	-100.0000000000
1505.3900000000	-100.0000000000
1505.3920000000	-100.0000000000
1505.3940000000	-100.0000000000
1505.3960000000	-100.0000000000
1505.3980000000	-100.0000000000
1505.4000000000	-100.0000000000
1505.4020000000	-100.0000000000
1505.4040000000	-100.0000000000
1505.4060000000	-100.0000000000
1505.4080000000	-100.0000000000
1505.4100000000	-100.0000000000
1505.4120000000	-100.0000000000
1505.4140000000	-100.0000000000
1505.4160000000	-100.0000000000
1505.4180000000	-100.0000000000
1505.4200000000	-100.0000000000
1505.4220000000	-100.0000000000
1505.4240000000	-100.0000000000
1505.4260000000	-100.0000000000
1505.4280000000	-100.0000000000
1505.4300000000	-100.0000000000
1505.4320000000	-100.0000000000
1505.4340000000	-100.0000000000
1505.4360000000	-100.0000000000
1505.4380000000	-100.0000000000
1505.4400000000	-100.0000000000
1505.4420000000	-100.0000000000
1505.4440000000	-100.0000000000
1505.4460000000	-100.0000000000
1505.4480000000	-100.0000000000
1505.4500000000	-100.0000000000
1505.4520000000	-100.0000000000
1505.4540000000	-100.0000000000
1505.4560000000	-100.0000000000
1505.4580000000	-100.0000000000
1505.4600000000	-100.0000000000
1505.4620000000	-100.0000000000
1505.4640000000	-100.0000000000
1505.4660000000	-100.0000000000
1505.4680000000	-100.0000000000
1505.4700000000	-100.0000000000
1505.4720000000	-100.0000000000
1505.4740000000	-73.6898760000
1505.4760000000	-71.0918681000
1505.4780000000	-70.3659485000
1505.4800000000	-70.6580540000
1505.4820000000	-71.6655750000
1505.4840000000	-72.0225815000
1505.4860000000	-70.9302707000
1505.4880000000	-69.9771118000
1505.4900000000	-69.4406984000
1505.4920000000	-68.7837946000
1505.4940000000	-68.5623882000
1505.4960000000	-69.4779483000
1505.4980000000	-70.8486775000
1505.5000000000	-71.0046826000
1505.5020000000	-70.2170642000
1505.5040000000	-69.4804961000
1505.5060000000	-69.2924169000
1505.5080000000	-70.1507394000
1505.5100000000	-71.8686185000
1505.5120000000	-72.0566660000
1505.5140000000	-69.9641473000
1505.5160000000	-67.9305833000
1505.5180000000	-66.5651346000
